2020hits,2020share,2021hits,2021share
16116,75,4315,19
14443,120,4243,11
11369,35,3783,5
8924,39,3434,19
8852,36,2369,42
8541,27,2350,19
8206,40,2246,15
7522,25,1830,12
7031,31,1682,12
6715,24,1679,10
6696,65,1675,22
6102,58,1478,9
6038,21,1460,4
5739,75,1357,16
5663,23,1275,22
5396,19,1216,10
5157,22,1154,4
4674,16,1131,6
4165,16,1131,22
3821,16,1034,21
3624,13,1028,7
3560,42,1016,4
3370,34,881,4
3250,44,879,11
3090,19,872,2
3067,38,804,3
2659,47,789,11
2457,13,746,15
2325,10,740,3
2258,13,736,2
2172,25,692,9
2164,18,671,3
2135,7,668,3
1923,4,621,5
1923,58,599,4
1880,11,596,1
1833,23,596,7
1702,11,585,4
1626,7,583,2
1528,4,579,2
1524,11,544,1
1351,5,534,2
1345,4,524,2
1339,11,506,6
1337,5,494,1
1301,3,456,2
1264,14,446,1
1169,16,366,0
1129,3,333,0
1090,5,310,0
1068,3,300,0
928,4,291,1
912,4,288,2
906,3,285,1
900,2,280,1
898,5,206,0
840,5,,
791,3,,
791,5,,
785,3,,
776,5,,
753,5,,
753,4,,
747,6,,
741,6,,
695,4,,
613,0,,
605,3,,
534,0,,
516,1,,
511,2,,
499,0,,
495,1,,
480,0,,
435,0,,
396,0,,
391,1,,
366,0,,
348,0,,
335,1,,
2,0,,