Date,People
2021-01-01T00:00:00,32
2021-01-02T00:00:00,37
2021-01-03T00:00:00,39
2021-01-04T00:00:00,19
2021-01-05T00:00:00,44
2021-01-06T00:00:00,32
2021-01-07T00:00:00,25
2021-01-08T00:00:00,30
2021-01-09T00:00:00,36
2021-01-10T00:00:00,29
2021-01-11T00:00:00,35
2021-01-12T00:00:00,29
2021-01-13T00:00:00,38
2021-01-14T00:00:00,29
2021-01-15T00:00:00,45
2021-01-16T00:00:00,46
2021-01-17T00:00:00,33
2021-01-18T00:00:00,36
2021-01-19T00:00:00,41
2021-01-20T00:00:00,31
2021-01-21T00:00:00,31
2021-01-22T00:00:00,36
2021-01-23T00:00:00,32
2021-01-24T00:00:00,32
2021-01-25T00:00:00,34
2021-01-26T00:00:00,31
2021-01-27T00:00:00,37
2021-01-28T00:00:00,34
2021-01-29T00:00:00,34
2021-01-30T00:00:00,32
2021-01-31T00:00:00,40
2021-02-01T00:00:00,23
2021-02-02T00:00:00,21
2021-02-03T00:00:00,23
2021-02-04T00:00:00,28
2021-02-05T00:00:00,35
2021-02-06T00:00:00,40
2021-02-07T00:00:00,33
2021-02-08T00:00:00,19
2021-02-09T00:00:00,20
2021-02-10T00:00:00,19
2021-02-11T00:00:00,22
2021-02-12T00:00:00,20
2021-02-13T00:00:00,22
2021-02-14T00:00:00,31
2021-02-15T00:00:00,36
2021-02-16T00:00:00,32
2021-02-17T00:00:00,22
2021-02-18T00:00:00,23
2021-02-19T00:00:00,28
2021-02-20T00:00:00,30
2021-02-21T00:00:00,30
2021-02-22T00:00:00,28
2021-02-23T00:00:00,40
2021-02-24T00:00:00,30
2021-02-25T00:00:00,36
2021-02-26T00:00:00,25
2021-02-27T00:00:00,22
2021-02-28T00:00:00,30
2021-03-01T00:00:00,31
2021-03-02T00:00:00,42
2021-03-03T00:00:00,44
2021-03-04T00:00:00,23
2021-03-05T00:00:00,30
2021-03-06T00:00:00,33
2021-03-07T00:00:00,25
2021-03-08T00:00:00,39
2021-03-09T00:00:00,36
2021-03-10T00:00:00,30
2021-03-11T00:00:00,36
2021-03-12T00:00:00,37
2021-03-13T00:00:00,42
2021-03-14T00:00:00,27
2021-03-15T00:00:00,24
2021-03-16T00:00:00,32
2021-03-17T00:00:00,30
2021-03-18T00:00:00,28
2021-03-19T00:00:00,31
2021-03-20T00:00:00,29
2021-03-21T00:00:00,39
2021-03-22T00:00:00,36
2021-03-23T00:00:00,27
2021-03-24T00:00:00,42
2021-03-25T00:00:00,30
2021-03-26T00:00:00,48
2021-03-27T00:00:00,30
2021-03-28T00:00:00,30
2021-03-29T00:00:00,39
2021-03-30T00:00:00,30
2021-03-31T00:00:00,25
2021-04-01T00:00:00,36
2021-04-02T00:00:00,33
2021-04-03T00:00:00,19
2021-04-04T00:00:00,40
2021-04-05T00:00:00,34
2021-04-06T00:00:00,37
2021-04-07T00:00:00,35
2021-04-08T00:00:00,24
2021-04-09T00:00:00,40
2021-04-10T00:00:00,30
2021-04-11T00:00:00,22
2021-04-12T00:00:00,31
2021-04-13T00:00:00,25
2021-04-14T00:00:00,34
2021-04-15T00:00:00,29
2021-04-16T00:00:00,31
2021-04-17T00:00:00,2535
2021-04-18T00:00:00,1456
2021-04-19T00:00:00,890
2021-04-20T00:00:00,613
2021-04-21T00:00:00,579
2021-04-22T00:00:00,689
2021-04-23T00:00:00,567
2021-04-24T00:00:00,953
2021-04-25T00:00:00,776
2021-04-26T00:00:00,601
2021-04-27T00:00:00,572
2021-04-28T00:00:00,407
2021-04-29T00:00:00,389
2021-04-30T00:00:00,283
2021-05-01T00:00:00,402
2021-05-02T00:00:00,479
2021-05-03T00:00:00,1071
2021-05-04T00:00:00,579
2021-05-05T00:00:00,553
2021-05-06T00:00:00,446
2021-05-07T00:00:00,893
2021-05-08T00:00:00,222
2021-05-09T00:00:00,287
2021-05-10T00:00:00,499
2021-05-11T00:00:00,431
2021-05-12T00:00:00,344
2021-05-13T00:00:00,476
2021-05-14T00:00:00,429
2021-05-15T00:00:00,331
2021-05-16T00:00:00,623
2021-05-17T00:00:00,563
2021-05-18T00:00:00,295
2021-05-19T00:00:00,538
2021-05-20T00:00:00,295
2021-05-21T00:00:00,1157
2021-05-22T00:00:00,128
2021-05-23T00:00:00,415
2021-05-24T00:00:00,381
2021-05-25T00:00:00,249
2021-05-26T00:00:00,221
2021-05-27T00:00:00,210
2021-05-28T00:00:00,615
2021-05-29T00:00:00,726
2021-05-30T00:00:00,627
2021-05-31T00:00:00,736
2021-06-01T00:00:00,559
2021-06-02T00:00:00,3304
2021-06-03T00:00:00,676
2021-06-04T00:00:00,2187
2021-06-05T00:00:00,2038
2021-06-06T00:00:00,1426
2021-06-07T00:00:00,1378
2021-06-08T00:00:00,1119
2021-06-09T00:00:00,2341
2021-06-10T00:00:00,1682
2021-06-11T00:00:00,1049
2021-06-12T00:00:00,1404
2021-06-13T00:00:00,943
2021-06-14T00:00:00,449
2021-06-15T00:00:00,218
2021-06-16T00:00:00,140
2021-06-17T00:00:00,84
2021-06-18T00:00:00,72
2021-06-19T00:00:00,359
2021-06-20T00:00:00,178
2021-06-21T00:00:00,98
2021-06-22T00:00:00,90
2021-06-23T00:00:00,64
2021-06-24T00:00:00,59
2021-06-25T00:00:00,212
2021-06-26T00:00:00,89
2021-06-27T00:00:00,53
2021-06-28T00:00:00,67
2021-06-29T00:00:00,62
2021-06-30T00:00:00,60
2021-07-01T00:00:00,51
2021-07-02T00:00:00,65
2021-07-03T00:00:00,49
2021-07-04T00:00:00,56
2021-07-05T00:00:00,53
2021-07-06T00:00:00,61
2021-07-07T00:00:00,56
2021-07-08T00:00:00,54
2021-07-09T00:00:00,41
2021-07-10T00:00:00,45
2021-07-11T00:00:00,46
2021-07-12T00:00:00,64
2021-07-13T00:00:00,55
2021-07-14T00:00:00,48
2021-07-15T00:00:00,52
2021-07-16T00:00:00,68
2021-07-17T00:00:00,48
2021-07-18T00:00:00,46
2021-07-19T00:00:00,55
2021-07-20T00:00:00,49
2021-07-21T00:00:00,66
2021-07-22T00:00:00,50
2021-07-23T00:00:00,30
2021-07-24T00:00:00,40
2021-07-25T00:00:00,40
2021-07-26T00:00:00,37
2021-07-27T00:00:00,45
2021-07-28T00:00:00,27
2021-07-29T00:00:00,34
2021-07-30T00:00:00,28
2021-07-31T00:00:00,32
2021-08-01T00:00:00,34
2021-08-02T00:00:00,37
2021-08-03T00:00:00,36
2021-08-04T00:00:00,40
2021-08-05T00:00:00,56
2021-08-06T00:00:00,64
2021-08-07T00:00:00,37
2021-08-08T00:00:00,41
2021-08-09T00:00:00,45
2021-08-10T00:00:00,35
2021-08-11T00:00:00,30
2021-08-12T00:00:00,39
2021-08-13T00:00:00,42
2021-08-14T00:00:00,32
2021-08-15T00:00:00,34
2021-08-16T00:00:00,40
2021-08-17T00:00:00,29
2021-08-18T00:00:00,33
2021-08-19T00:00:00,30
2021-08-20T00:00:00,23
2021-08-21T00:00:00,49
2021-08-22T00:00:00,32
2021-08-23T00:00:00,31
2021-08-24T00:00:00,41
2021-08-25T00:00:00,34
2021-08-26T00:00:00,40
2021-08-27T00:00:00,26
2021-08-28T00:00:00,30
2021-08-29T00:00:00,36
2021-08-30T00:00:00,32
2021-08-31T00:00:00,32
2021-09-01T00:00:00,38
2021-09-02T00:00:00,31
2021-09-03T00:00:00,32
2021-09-04T00:00:00,41
2021-09-05T00:00:00,32
2021-09-06T00:00:00,33
2021-09-07T00:00:00,63
2021-09-08T00:00:00,44
2021-09-09T00:00:00,40
2021-09-10T00:00:00,34
2021-09-11T00:00:00,44
2021-09-12T00:00:00,31
2021-09-13T00:00:00,346
2021-09-14T00:00:00,181
2021-09-15T00:00:00,122
2021-09-16T00:00:00,70
2021-09-17T00:00:00,59
2021-09-18T00:00:00,64
2021-09-19T00:00:00,76
2021-09-20T00:00:00,48
2021-09-21T00:00:00,55
2021-09-22T00:00:00,34
2021-09-23T00:00:00,35
2021-09-24T00:00:00,34
2021-09-25T00:00:00,42
2021-09-26T00:00:00,35
2021-09-27T00:00:00,54
2021-09-28T00:00:00,35
2021-09-29T00:00:00,36
2021-09-30T00:00:00,29
2021-10-01T00:00:00,35
2021-10-02T00:00:00,41
2021-10-03T00:00:00,21
2021-10-04T00:00:00,26
2021-10-05T00:00:00,48
2021-10-06T00:00:00,33
2021-10-07T00:00:00,23
2021-10-08T00:00:00,31
2021-10-09T00:00:00,29
2021-10-10T00:00:00,34
2021-10-11T00:00:00,37
2021-10-12T00:00:00,27
2021-10-13T00:00:00,30
2021-10-14T00:00:00,32
2021-10-15T00:00:00,25
2021-10-16T00:00:00,20
2021-10-17T00:00:00,30
2021-10-18T00:00:00,26
2021-10-19T00:00:00,30
2021-10-20T00:00:00,25
2021-10-21T00:00:00,23
2021-10-22T00:00:00,28
2021-10-23T00:00:00,22
2021-10-24T00:00:00,32
2021-10-25T00:00:00,13
2021-10-26T00:00:00,27
2021-10-27T00:00:00,26
2021-10-28T00:00:00,40
2021-10-29T00:00:00,42
2021-10-30T00:00:00,22
2021-10-31T00:00:00,23
2021-11-01T00:00:00,25
2021-11-02T00:00:00,30
2021-11-03T00:00:00,31
2021-11-04T00:00:00,30
2021-11-05T00:00:00,31
2021-11-06T00:00:00,31
2021-11-07T00:00:00,25
2021-11-08T00:00:00,29
2021-11-09T00:00:00,24
2021-11-10T00:00:00,26
2021-11-11T00:00:00,23
2021-11-12T00:00:00,34
2021-11-13T00:00:00,26
2021-11-14T00:00:00,29
2021-11-15T00:00:00,22
2021-11-16T00:00:00,27
2021-11-17T00:00:00,34
2021-11-18T00:00:00,25
2021-11-19T00:00:00,41
2021-11-20T00:00:00,48
2021-11-21T00:00:00,36
2021-11-22T00:00:00,21
2021-11-23T00:00:00,19
2021-11-24T00:00:00,28
2021-11-25T00:00:00,30
2021-11-26T00:00:00,25
2021-11-27T00:00:00,28
2021-11-28T00:00:00,27
2021-11-29T00:00:00,27
2021-11-30T00:00:00,32
2021-12-01T00:00:00,24
2021-12-02T00:00:00,30
2021-12-03T00:00:00,21
2021-12-04T00:00:00,23
2021-12-05T00:00:00,19
2021-12-06T00:00:00,32
2021-12-07T00:00:00,26
2021-12-08T00:00:00,21
2021-12-09T00:00:00,28
2021-12-10T00:00:00,14
2021-12-11T00:00:00,28
2021-12-12T00:00:00,18
2021-12-13T00:00:00,38
2021-12-14T00:00:00,32
2021-12-15T00:00:00,26
2021-12-16T00:00:00,22
2021-12-17T00:00:00,21
2021-12-18T00:00:00,14
2021-12-19T00:00:00,33
2021-12-20T00:00:00,29
2021-12-21T00:00:00,20
2021-12-22T00:00:00,27
2021-12-23T00:00:00,29
2021-12-24T00:00:00,23
2021-12-25T00:00:00,22
2021-12-26T00:00:00,23
2021-12-27T00:00:00,23
2021-12-28T00:00:00,30
2021-12-29T00:00:00,25
2021-12-30T00:00:00,2